"cod_ocupacao","Ocupacao"
1,"Administrador"
2,"Advogado"
3,"Agente Administrativo"
4,"Agricultor"
5,"Antropólogo"
6,"Aposentado (Exceto Servidor Público)"
7,"Assistente Social"
8,"Bancário e Economiário"
9,"Bombeiro Militar"
10,"Comerciante"
11,"Contador"
12,"Corretor de Imóveis, Seguros, Títulos e Valores"
13,"Deputado"
14,"Diretor de Empresas"
15,"Dona de Casa"
16,"Empregado Doméstico"
17,"Empresário"
18,"Engenheiro"
19,"Estudante, Bolsista, Estagiário e Assemelhados"
20,"Fiscal"
21,"Gari ou Lixeiro"
22,"Geógrafo"
23,"Jornalista e Redator"
24,"Médico"
25,"Militar Reformado"
26,"Motorista de Veículos de Transporte Coletivo de Passageiros"
27,"Outros"
28,"Pedagogo"
29,"Policial Militar"
30,"Professor de Ensino Fundamental"
31,"Professor de Ensino Médio"
32,"Professor de Ensino Superior"
33,"Sacerdote ou Membro de Ordem ou Seita Religiosa"
34,"Secretário e Datilógrafo"
35,"Servidor Público Civil Aposentado"
36,"Servidor Público Estadual"
37,"Servidor Público Federal"
38,"Servidor Público Municipal"
39,"Técnico Contabilidade, Estatística, Economia Doméstica e Administração"
40,"Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro)"
41,"Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados"
42,"Vereador"
