"Partido","Sigla","Nome_Partido"
10,"PRB","Partido Republicano Brasileiro"
11,"PP","Partido Progressista"
12,"PDT","Partido Democrático Trabalhista"
13,"PT","Partido dos Trabalhadores"
14,"PTB","Partido Trabalhista Brasileiro"
15,"MDB","Movimento Democrático Brasileiro"
17,"PSL","Partido Social Liberal"
18,"REDE","Rede Sustentabilidade"
19,"PODE","Podemos"
20,"PSC","Partido Social Cristão"
22,"PR","Partido da República"
23,"PPS","Partido Popular Socialista"
25,"DEM","Democratas"
27,"DC","Democracia Cristã"
28,"PRTB","Partido Renovador Trabalhista Brasileiro"
30,"NOVO","Partido Novo"
31,"PHS","Partido Humanista da Solidariedade"
33,"PMN","Partido da Mobilização Nacional"
36,"PTC","Partido Trabalhista Cristão"
40,"PSB","Partido Socialista Brasileiro"
43,"PV","Partido Verde"
44,"PRP","Partido Republicano Progressista"
45,"PSDB","Partido da Social Democracia Brasileira"
50,"PSOL","Partido Socialismo e Liberdade"
51,"PATRI","Patriota"
54,"PPL","Partido Pátria Livre"
55,"PSD","Partido Social Democrático"
65,"PC do B","Partido Comunista do Brasil"
70,"AVANTE","AVANTE"
77,"SOLIDARIEDADE","Solidariedade"
90,"PROS","Partido Republicano da Ordem Social"
